year,dram,cpu_slow,cpu_fast
1980,100,100,100
1981,108.3798387,123.7500366,131.6074013
1982,117.4618943,153.1407157,173.2050808
1983,127.3050116,189.5116918,227.9507057
1984,137.9729661,234.520788,300
1985,149.5348781,290.2195611,394.8222039
1986,162.0656597,359.1468131,519.6152423
1987,175.6465005,444.4443129,683.8521171
1988,190.3653939,550,900
1989,206.3177068,742.5,1614.6
1990,223.6067977,1002.375,2896.5924
1991,242.3446867,1353.20625,5196.486766
1992,262.6527804,1826.828438,9322.497257
1993,284.6626597,2466.218391,16724.56008
1994,308.5169314,3329.394827,30003.86078
1995,334.3701525,4494.683017,53826.92625
1996,362.3898318,6067.822073,96565.50568
1997,392.7575151,8191.559798,173238.5172
1998,425.6699613,11058.60573,310789.8999
1999,461.3404173,14929.11773,557557.0803
2000,500,20154.30894,1000257.402
