associativity,ssd,hdd,s1i1,s1i16,s16i1,s16i16,load
2,596.1094,2716.3564,2224.892667,2536.57075,2127.76025,2591.68875,6.4
4,596.1094,2716.3564,1852.549,2269.09,1846.314,2283.003,7.78
8,596.1094,2716.3564,1772.332,2397.068,1638.6635,1931.17275,9.32
16,596.1094,2716.3564,1683.613,2187.855,1543.576,1569.169,11.38
32,596.1094,2716.3564,1652.33575,2895.42625,1585.0225,1765.85925,13.6
128,596.1094,2716.3564,1608.516,3210.39025,1554.91575,1570.9225,
512,596.1094,2716.3564,1587.958,2798.240667,1534.705333,1530.019333,13.9
2048,596.1094,2716.3564,1540.681333,2579.437333,1482.571333,1501.099333,16.52
8192,596.1094,2716.3564,1473.192,2196.486333,1502.949,1491.448,23.76
32768,596.1094,2716.3564,1774.547333,2476.372333,2101.723667,2122.829333,58.14
131072,596.1094,2716.3564,4990.343,6359.079333,7290.274333,7315.662,85.04
262144,,,,,,,91.96
