associativity,ssd,hdd,s1i1,s1i16,s16i1,s16i16
2,596.1094,2716.3564,1979.874,1563.802,2036.555,1563.673
4,596.1094,2716.3564,1803.61,1572.647,2010.778,1527.942
8,596.1094,2716.3564,1731.706,1609.622,2094.997,1595.464
16,596.1094,2716.3564,1595.071,1596.76,2461.71,1761.09
32,596.1094,2716.3564,1568.772,1572.949,3147.675,1799.52
128,596.1094,2716.3564,1628.356,1594.531,4010.272,1741.523
512,596.1094,2716.3564,1567.312,1545.888,3814.856,1610.785
2048,596.1094,2716.3564,1573.474,1620.144,3787.563,1527.531
8192,596.1094,2716.3564,1483.511,1482.131,3034.758,1495.879
32768,596.1094,2716.3564,1777.742,1824.225,2772.063,1765.296
131072,596.1094,2716.3564,4917.68,4962.087,6746.301,4896.266
